Pinyin,Wade-Giles,Romatzyh
аи,аи,аы
аихао,аихао,аыхаw
ба,па,ба
баба,паба,бахба
ба,па,бах
баи,паи,баир
баитиан,паитиен,баиртиан
баи,паи,бае
бан,пан,бан
бан,пан,банн
банниан,панниен,баннниан
бантиан,пантиен,баннтиан
банг,панг,банг
бангманг,пангманг,бангманг
бао,пао,бау
баози,паози,баузи
беи,пеи,беи
беизи,пеизи,беизи
беи,пеи,бееи
беибиан,пеипиен,бееибиан
беийинг,пеичинг,бееийинг
бен,пен,беен
бензи,пензи,беензи
би,пи,бии
бие,пиех,бые
биеде,пиехде,быеде
бинг,пинг,бинq
бингрен,пингйен,бинqрен
бу,пу,бух
цаи,цаи,цаы
ча,ча,чар
ча,ча,чах
чанг,чанг,чарнг
чангчанг,чангчанг,чарнгчарнг
чанг,чанг,чанq
чангге,чангко,чанqге
че,че,че
чепиао,чепиао,чепиаw
чешанг,чешанг,чешанq
чежан,чечан,чеянн
чи,чих,чы
чифан,чихфан,чыфанн
чу,чу,чу
чулаи,чулаи,чулаи
чуqу,чучу,чучиух
чуан,чуан,чуан
чуанг,чуанг,чwанг
ци,тзу,цых
цонг,цунг,цорнг
цуо,цо,цуох
даче,таче,дааче
дадианхуа,татиенхуа,даадианнхуах
дакаи,такаи,даакаи
даqиу,тачиу,даачыоу
да,та,дах
даxуе,тахсуех,дахшыуе
даxуешенг,тахсуехшенг,дахшыуешенг
дао,тао,даw
дедао,тетао,дердаw
де,де,де
де,де,де
денг,тенг,деенг
ди,ти,дих
дидиан,титиен,дихдеан
диту,титу,дихтwу
диди,тиди,дихди
ди,ти,дих
ди,ти,дих
диан,тиен,деан
диан,тиен,дианн
дианхуа,тиенхуа,дианнхуах
дианнао,тиеннао,дианннао
дианши,тиенших,дианншых
дианшийи,тиеншихчи,дианншыхйи
дианыинг,тиеныинг,дианныиинг
дианыингыуан,тиеныингыуан,дианныиингыуанн
донг,тунг,донг
донг,тунг,донq
донгзуо,тунгцо,донqтзуох
доу,тоу,доу
ду,ту,дwу
душу,тушу,дwушу
дуи,туи,дуеы
дуибуqи,туибучи,дуеыбучии
дуо,то,дуо
е,е,ех
ерзи,ерхзи,ерлзи
ер,ерх,елл
фан,фан,фанн
фандиан,фантиен,фанндианн
фангйиан,фангчиен,фарнгйиан
фангзи,фангзи,фарнгзи
фанг,фанг,фанq
фангйиа,фангчиа,фанqйиах
фангxуе,фангхсуех,фанqшыуе
феи,феи,феи
феийи,феичи,феийи
феичанг,феичанг,феичарнг
фен,фен,фен
фенг,фенг,фенг
ган,кан,ган
ганйинг,канчинг,ганйинq
ганшенме,каншенме,ганншернме
гао,као,гау
гаоxинг,каохсинг,гаушинq
геге,коге,геге
ге,ко,ге
ге,ко,ге
ге,ко,гех
геи,кеи,гееи
ген,кен,ген
гонгрен,кунгйен,гонгрен
гонгзуо,кунгцо,гонгтзуох
гуан,куан,гуан
гуаншанг,куаншанг,гуаншанq
гуи,куеи,гуеы
гуо,куо,гwо
гуойиа,куочиа,гwойиа
гуоwаи,куоwаи,гwоwаы
хаиши,хаиши,хаирши
хаиыоу,хаиыу,хаирыеоу
хаизи,хаизи,хаирзи
ханыу,ханыу,ханныеу
ханзи,хантзу,ханнтзых
хао,хао,хао
хаочи,хаочих,хаочы
хаокан,хаокан,хаоканн
хаотинг,хаотинг,хаотинг
хаоwанр,хаоwанр,хаоwанр
хао,хао,хаw
хе,хо,хе
хе,хо,хер
хен,хен,хеен
хоу,хоу,хоw
хоутиан,хоутиен,хоwтиан
хуа,хуа,хуа
хуа,хуа,хуах
хуаи,хуаи,хуаы
хуан,хуан,хwан
хуи,хуи,хwеи
хуида,хуита,хwеидар
хуидао,хуитао,хwеидаw
хуийиа,хуичиа,хwеийиа
хуи,хуи,хуеы
хуоче,хуоче,хуооче
йичанг,чичанг,йичаанг
йипиао,чипиао,йипиаw
йидан,читан,йиданн
йи,чи,йии
йи,чи,йих
йиа,чиа,йиа
йиали,чиали,йиалии
йиарен,чиайен,йиарен
йиан,чиен,йиан
йиан,чиен,йианн
йианмиан,чиенмиен,йианнмианн
йиао,чиао,йиау
йиао,чиао,йиаw
йиаоxуелоу,чиаохсуехлоу,йиаwшыуелоу
йиейие,чиехйие,йиеейие
йиешао,чиехшао,йиехшаw
йинниан,чинниен,йинниан
йинтиан,чинтиен,йинтиан
йин,чин,йинн
йинлаи,чинлаи,йиннлаи
йинqу,чинчу,йиннчиух
йиу,чиу,йеоу
йиу,чиу,йиоw
юеде,чуехде,йыуеде
каи,каи,каи
каиче,каиче,каиче
каихуи,каихуи,каихуеы
каиwанxиао,каиwанхсиао,каиwаншиаw
канбинг,канпинг,каннбинq
кандао,кантао,канндаw
канйиан,канчиен,каннйианн
као,као,као
каоши,каоших,каошых
ке,ко,кее
ке,ко,кех
кебен,копен,кехбеен
кеwен,коwен,кехwен
коу,коу,кооу
куаи,куаи,куаы
куаи,куаи,куаы
лаи,лаи,лаи
лаидао,лаитао,лаидаw
лао,лао,лао
лаорен,лаойен,лаорен
лаоши,лаоших,лаошы
ле,ле,ле
леи,леи,леы
ленг,ленг,леенг
ли,ли,лии
лианг,лианг,леанг
линг,линг,линг
линг,линг,линг
лиу,лиу,лиоw
лоу,лоу,лоу
лоушанг,лоушанг,лоушанq
лоуxиа,лоухсиа,лоушиах
лу,лу,лух
лукоу,лукоу,лухкооу
мама,мама,мхама
ма,ма,мха
малу,малу,маалух
машанг,машанг,маашанq
маи,маи,мае
ман,ман,манн
манг,манг,манг
мао,мао,мау
меи,меи,меи
меигуанxи,меикуанxи,меигуанxи
меишенме,меишенме,меишернме
меишир,меишихр,меишыхр
меиыоу,меиыу,меиыеоу
меимеи,меимеи,меымеи
меи,меи,меы
мен,мен,мен
менкоу,менкоу,менкооу
менпиао,менпиао,менпиаw
мифан,мифан,миифанн
мианбао,миенпао,мианнбау
миантиаор,миентиаор,мианнтыаур
мингзи,мингзи,мингзи
мингбаи,мингбаи,мингбаи
мингниан,мингниен,мингниан
мингтиан,мингтиен,мингтиан
на,на,на
на,на,наа
нали,нали,наалии
нар,нар,наар
наxие,нахсиех,наашие
нар,нар,нахр
наxие,нахсиех,нахшие
наи,наи,нае
наинаи,наинаи,наенаи
нанхаир,нанхаир,нанхаирр
наншенг,наншенг,наншенг
не,не,не
ненг,ненг,ненг
ни,ни,нии
нимен,нимен,ниимен
ниан,ниен,ниан
нин,нин,нин
ниунаи,ниунаи,ниоунае
пангбиан,пангпиен,парнгбиан
пенгыоу,пенгыоу,пернгыоу
пиао,пиао,пиаw
qи,чи,чи
qи,чи,чии
qичуанг,чичуанг,чиичwанг
qиче,чиче,чихче
qиан,чиен,чыан
qиантиан,чиентиен,чыантиан
qиан,чиен,чыан
qианбао,чиенпао,чыанбау
qинг,чинг,чиинг
qингйиа,чингчиа,чиингйиах
qингйин,чингчин,чиингйинн
qингwен,чингwен,чиингwенн
qингзуо,чингцо,чиингтзуох
qиу,чиу,чыоу
qу,чу,чиух
qуниан,чуниен,чиухниан
ре,йе,рех
рен,йен,рен
ренши,йенши,реннши
ренжен,йенчен,реннйен
ри,йих,рых
риqи,йихчи,рыхчи
роу,йоу,роw
сан,сан,сан
шан,шан,шан
шангчанг,шангчанг,шангчаанг
шангдиан,шангтиен,шангдианн
шанг,шанг,шанq
шангбан,шангпан,шанqбан
