text,index
"Васильевна. – Потому что мы там тоже были. Валохин, Брандукова, я… и еще ребята… С утра в ТЮЗе, на «Синей птице», а потом до вечера на горе. – В хорошей компании ты там резвился… Журку кольнула злая досада: что Маргарита зря придирается? – При чем тут компания? Просто на одной",1
"что? Когда ты считаешь, что надо делать одно, а тебе говорят: делай другое. И говорят хором, говорят самые справедливые слова, и ты сам уже начинаешь думать: а ведь, наверно, они и в самом деле правы. Может случиться, что правы. Но если будет в тебе хоть капелька сомнения, если в самой-самой",1
"в окно!.. Не смей!.. На миг он увидел себя в зеркале – расхлюстанного, с широким черным ртом, бьющегося так, что ноги превратились в размазанную по воздуху полосу. Было уже все равно, и Журка заорал: – Пусти! Гад! Пусти! Гад! И кричал эти слова, пока в своей комнате не ткнулся лицом",1
"книги брюхом и рычишь! Журка опять подумал, что все-все книги отдал бы за то, чтобы сейчас они с папой вдвоем жарили картошку и болтали о чем-нибудь веселом и пустяковом. Он даже чуть не сказал об этом, но было бесполезно. Отец стоял какой-то встрепанный. Чужой. На широких побледневших скулах выступили черные",1
"– сказал старшина Валохин. – Ну, мне же не скажут! Прогонят, и все! Ты же знаешь, как с ребятами обращаются… – Как заслужили, так и обращаются. – Да я не про то… Папа, ну, поедем! Тебе-то все скажут! – Да с какой стати я должен ехать? – с раздражением сказал",1
"познакомились… Ты заходи как-нибудь потолковать. Приятно, когда у собеседника ясная душа. Журка выжидательно молчал. – Ну, будь, – сказал Капрал и поднялся. Протянул руку. Журка встал и нерешительно подал свою. Вообще-то по законам чести и рыцарства давать руку Капралу не следовало. Он был явный жулик, хотя и симпатичный. Но Журка",1
"слышит) возразила ей Маргарита: – Да поймите вы, что дело не в передаче. В нем дело. Если мы его сейчас не сломаем, что будет потом? В шестом классе, в седьмом, в восьмом? То, что он делает, – неподчинение. Для школы это хуже хулиганства и воровства. – Но вы его уже",1
"шепотом спросил Валерик. Краска на его ушах немного посветлела. – А помнишь, как Том Сойер и Гек Финн их сводили? – Кто? – бормотнул Валерик. – Ты что, не читал про Тома Сойера? – А, читал… Нам в классе читали, – вспомнил Валерик и наконец поднял лицо, стыдливо посмотрел на",1
"было нельзя, они торопились, на такси заехали… А картину подарили нам на память. Такая прелесть, верно? – Ну при чем здесь прелесть? – с болью откликнулся Журка. – Я же ничего не успел… Мама поняла. – Что же делать, Журавушка… Что делать? Самолет улетает не сразу. Сначала регистрация билетов, потом",1
"стулья, хлопала во дворе половики, протирала подоконники и карнизы. В своем черном купальнике она носилась из комнаты в комнату и была похожа на ласточку. Это удивляло Веру Вячеславовну. Не то, что дочь похожа на ласточку, а то, что в ней прорезалось с утра такое трудолюбие. Впрочем, Иринка успевала и дурачиться.",1
"Сергеевна сказала: – Значит, это будет машина счастья? Такую машину, Журка, многие пытались придумать. Но, говорят, это невозможно, как вечный двигатель. Видимо, совсем без несчастий не проживешь. Журка досадливо мотнул головой. – Я, значит, не так объяснил… Конечно, от всех несчастий никакая машина не спасет. Но… вот если человек идет",1
"папку, посмотрела на Горьку и Шкалика почти ласково, встряхнулась и бодро спросила: – Ну что? Будем отпираться или сразу все скажем честненько? Как у нас насчет совести? Шкалик закатил истерику. Он зарыдал, затопал ногами и взахлеб закричал, что стало уже невозможно выйти на улицу. Что такого он сделал? Шел мимо",1
"– опять усмехнулся Егор. И сказал: – Пошли отсюда. А то еще сторож прибежит, от него не отстреляемся… Непонятно было, кому он это сказал: только своим или Горьке с Журкой тоже? Но, когда ребята двинулись из тупика, Горька торопливо выбрался из-за ящиков. Журка за ним… Они все прошли на пустырь,",1
"Есть, конечно. У меня все ваши есть, я сейчас достану… А у тебя разве нет? – У меня только общая, где весь класс. Ромка там боком стоит, лицо плохо видно. – Можно найти хороший негатив и напечатать портрет. У Валерия все фотопленки хранятся… Только снимки-то давно делались, сейчас он подрос,",1
"Журка сказал беззаботно: – Нет, я их еще днем успеваю сделать. Задают-то, сама знаешь, всего ничего… Задавали, и правда, пока немного. Журка делал уроки буквально за полчаса, а вечером зарывался в дедушкины книги. Одни из них были интересные, и Журка читал их подряд. Некоторые казались скучноватыми, но Журка все равно",1
