text,index
"Ее будущий супруг имел маленькую ремонтную мастерскую. Он знал о ее прошлом, и это ему было безразлично. За будущее он мог не беспокоиться. Когда одна из таких девиц выходила замуж, на нее можно было положиться. Она уже все испытала, и ей это надоело. Такая становилась верной женой. Свадьба Лилли была",0
"за собачкой потом, после работы. -- Ты в состоянии понять, что именно ты сейчас приобрел? -- спросил меня Густав на улице. -- Это же редчайший экземпляр! Ирландский терьер! Ни одного изъяна. Да еще родословная в придачу. Ты не смеешь даже смотреть на него, раб божий! Прежде чем заговорить с этой",0
"заре, втягивала в себя воздух. Только Валентин и Грау сидели спокойно и нежились на солнце. И снова грохочущее сердцебиение машин, мчащихся вдоль трибун. Мы не спускали глаз с Кестера. Отто мотнул головой, -- он не хотел менять баллонов. Когда после поворота машины опять пронеслись мимо нас, Кестер шел уже впритирку",0
"Я поставил бутылку на стол. В последний раз из нее угощался Хаосе. Я подумал, что, пожалуй, не следовало оставлять его одного. Я был подавлен, но не мог упрекнуть себя ни в чем. Чего я только не видел в жизни, чего только не пережил! И я знал: можно упрекать себя за",0
"Пат сидела в углу и не шевелилась. Я не слышал даже ее дыхания. Бройер подъехал сначала к ней. Он знал ее адрес. Она вышла. Бройер поцеловал ей руку. -- Спокойной ночи, -- сказал я и не посмотрел на нее. -- Где мне вас высадить? -- спросил меня Бройер. -- На",0
"расхищаете городскую собственность! Я прикажу вас задержать! Тем временем я успел набрать достаточно сирени. -- Но сначала меня надо поймать. Ну-ка, догони, дедушка! -- предложил я старику, перемахнул через решетку и исчез. x x x Перед домом Пат я еще раз придирчиво осмотрел свой костюм. Потом я поднялся по лестнице.",0
"Отвезти вас домой? -- Нет, -- сказала Пат. -- Я так и думал. Куда же нам поехать? -- В бар. Или не стоит, Робби? -- Она повернулась ко мне. -- Конечно, -- сказал я. -- Конечно, мы еще поедем в бар. Мы не спеша поехали по улицам. Был теплый и",0
"он не развалится по дороге, -- сказал я. -- Не развалится, -- ответила Пат. -- Откуда ты знаешь? -- Разве непонятно? Потому что сейчас наш отпуск, Робби. -- Может быть, -- сказал я. -- Но, между прочим, я знаю его заднюю ось. У нее довольно грустный вид. А тут еще",0
"но потом, после того как мы поговорили несколько раз, привязалась ко мне. Это была странная связь. Случалось, я не видел ее неделями, а потом она стояла где-то на тротуаре и ждала меня. Тогда мы оба не имели никого, и даже те немногие крупицы тепла, которые мы давали друг другу, были",0
"Пат. -- Даже роскошно, -- добавил я, стараясь польстить хозяйке. -- А где другая? Фройляйн Мюллер медленно повернулась ко мне: 64? -- Другая? Какая другая? Разве вам нужна другая? Эта вам не нравится? -- Она просто великолепна, -- сказал я, -- но... -- Но? -- чуть насмешливо заметила фройляйн Мюллер.",0
